Column1,Column2,t,v
,,869,0
868,37.54750443,1,37.54750443
867,37.54475403,2,37.54475403
866,37.51104736,3,37.51104736
865,37.41500092,4,37.41500092
864,37.29947281,5,37.29947281
863,37.19501114,6,37.19501114
862,37.09068298,7,37.09068298
861,36.98706818,8,36.98706818
860,36.88645172,9,36.88645172
859,36.75763321,10,36.75763321
858,36.65413666,11,36.65413666
857,36.6059761,12,36.6059761
856,36.49419022,13,36.49419022
855,36.40562439,14,36.40562439
854,36.30546951,15,36.30546951
853,36.21349716,16,36.21349716
852,36.12533951,17,36.12533951
851,36.03672409,18,36.03672409
850,35.96719742,19,35.96719742
849,35.88525391,20,35.88525391
848,35.80352402,21,35.80352402
847,35.72273636,22,35.72273636
846,35.64828873,23,35.64828873
845,35.57976913,24,35.57976913
844,35.50272751,25,35.50272751
843,35.42554092,26,35.42554092
842,35.3414917,27,35.3414917
841,35.26596451,28,35.26596451
784,31.16381645,85,31.16381645
783,31.14573097,86,31.14573097
782,31.06413078,87,31.06413078
781,31.00252914,88,31.00252914
780,30.93354416,89,30.93354416
779,30.85546684,90,30.85546684
778,30.78448105,91,30.78448105
777,30.71420288,92,30.71420288
776,30.63927841,93,30.63927841
775,30.566782,94,30.566782
774,30.50626945,95,30.50626945
773,30.47259903,96,30.47259903
772,30.41213226,97,30.41213226
771,30.33555603,98,30.33555603
770,30.24688911,99,30.24688911
769,30.17782402,100,30.17782402
768,30.11130905,101,30.11130905
767,30.05249214,102,30.05249214
766,30.00328445,103,30.00328445
765,29.9092083,104,29.9092083
764,29.84174919,105,29.84174919
763,29.78284073,106,29.78284073
762,29.74144936,107,29.74144936
761,29.67644691,108,29.67644691
760,29.61880684,109,29.61880684
733,28.15122795,136,28.15122795
732,28.11732292,137,28.11732292
731,28.06684685,138,28.06684685
730,28.01344872,139,28.01344872
729,27.96180916,140,27.96180916
728,27.91124725,141,27.91124725
727,27.86916351,142,27.86916351
726,27.81066704,143,27.81066704
725,27.76686668,144,27.76686668
724,27.7176857,145,27.7176857
723,27.6666832,146,27.6666832
722,27.60913277,147,27.60913277
721,27.567173,148,27.567173
720,27.51767921,149,27.51767921
719,27.46523666,150,27.46523666
718,27.41095734,151,27.41095734
717,27.368927,152,27.368927
716,27.31811905,153,27.31811905
715,27.26374245,154,27.26374245
714,27.22442245,155,27.22442245
713,27.16675568,156,27.16675568
712,27.12574577,157,27.12574577
711,27.07626152,158,27.07626152
710,27.05115891,159,27.05115891
709,27.00423813,160,27.00423813
708,26.94209671,161,26.94209671
707,26.9002552,162,26.9002552
706,26.85855293,163,26.85855293
705,26.81041908,164,26.81041908
704,26.76545143,165,26.76545143
703,26.710989,166,26.710989
702,26.66802216,167,26.66802216
701,26.61444855,168,26.61444855
700,26.57401848,169,26.57401848
699,26.52082253,170,26.52082253
698,26.46463394,171,26.46463394
697,26.41765785,172,26.41765785
696,26.37252617,173,26.37252617
695,26.35815239,174,26.35815239
694,26.28076553,175,26.28076553
693,26.24059677,176,26.24059677
692,26.20297241,177,26.20297241
691,26.15989494,178,26.15989494
690,26.11472321,179,26.11472321
689,26.07899857,180,26.07899857
688,26.03145981,181,26.03145981
687,25.98476219,182,25.98476219
686,25.93677139,183,25.93677139
685,25.90154457,184,25.90154457
684,25.85185051,185,25.85185051
683,25.82078552,186,25.82078552
682,25.77723503,187,25.77723503
681,25.72651672,188,25.72651672
680,25.68812943,189,25.68812943
679,25.64657021,190,25.64657021
678,25.60498619,191,25.60498619
677,25.54086494,192,25.54086494
676,25.48916435,193,25.48916435
675,25.4528656,194,25.4528656
674,25.41245651,195,25.41245651
673,25.36208344,196,25.36208344
672,25.3242588,197,25.3242588
671,25.28546333,198,25.28546333
670,25.23276711,199,25.23276711
669,25.20046806,200,25.20046806
668,25.1585598,201,25.1585598
667,25.11458015,202,25.11458015
666,25.06354523,203,25.06354523
665,25.04149818,204,25.04149818
664,24.99961853,205,24.99961853
663,24.95099449,206,24.95099449
662,24.91396904,207,24.91396904
661,24.87924957,208,24.87924957
660,24.82273865,209,24.82273865
659,24.79975891,210,24.79975891
658,24.75201416,211,24.75201416
657,24.71735001,212,24.71735001
656,24.66738892,213,24.66738892
655,24.63529205,214,24.63529205
654,24.59158707,215,24.59158707
653,24.5409584,216,24.5409584
652,24.50734138,217,24.50734138
651,24.46808624,218,24.46808624
650,24.42593575,219,24.42593575
649,24.3857708,220,24.3857708
648,24.34431839,221,24.34431839
647,24.3027668,222,24.3027668
646,24.26362228,223,24.26362228
645,24.21500015,224,24.21500015
644,24.17355347,225,24.17355347
643,24.13466835,226,24.13466835
642,24.09318161,227,24.09318161
641,24.0616703,228,24.0616703
640,24.01287651,229,24.01287651
639,23.98156548,230,23.98156548
638,23.94292641,231,23.94292641
637,23.89251709,232,23.89251709
636,23.85408211,233,23.85408211
635,23.83357811,234,23.83357811
634,23.79461098,235,23.79461098
633,23.76226997,236,23.76226997
632,23.72235489,237,23.72235489
631,23.67592049,238,23.67592049
630,23.64396858,239,23.64396858
629,23.60478973,240,23.60478973
628,23.55786896,241,23.55786896
627,23.52741623,242,23.52741623
626,23.48100662,243,23.48100662
625,23.4413662,244,23.4413662
624,23.397295,245,23.397295
623,23.36499786,246,23.36499786
622,23.32618332,247,23.32618332
621,23.28774071,248,23.28774071
620,23.24858856,249,23.24858856
619,23.224617,250,23.224617
618,23.17924118,251,23.17924118
617,23.13717461,252,23.13717461
616,23.11036491,253,23.11036491
615,23.06565666,254,23.06565666
614,23.03598404,255,23.03598404
613,22.99903488,256,22.99903488
612,22.9535675,257,22.9535675
611,22.92198181,258,22.92198181
610,22.88720322,259,22.88720322
609,22.84065247,260,22.84065247
608,22.80411148,261,22.80411148
607,22.76568222,262,22.76568222
606,22.73569107,263,22.73569107
605,22.71874428,264,22.71874428
604,22.66950607,265,22.66950607
603,22.64461708,266,22.64461708
602,22.60873985,267,22.60873985
601,22.56447983,268,22.56447983
600,22.52464294,269,22.52464294
599,22.50047493,270,22.50047493
595,22.33828735,274,22.33828735
594,22.31175613,275,22.31175613
593,22.26820374,276,22.26820374
592,22.24821281,277,22.24821281
591,22.20646477,278,22.20646477
590,22.17569351,279,22.17569351
589,22.14281464,280,22.14281464
588,22.10665894,281,22.10665894
587,22.07938957,282,22.07938957
586,22.04366302,283,22.04366302
585,22.00186539,284,22.00186539
584,21.96913338,285,21.96913338
583,21.93109703,286,21.93109703
582,21.90401649,287,21.90401649
581,21.86151314,288,21.86151314
580,21.83414459,289,21.83414459
579,21.78983688,290,21.78983688
578,21.7649231,291,21.7649231
577,21.72226143,292,21.72226143
576,21.68748665,293,21.68748665
575,21.66140747,294,21.66140747
574,21.632267,295,21.632267
573,21.58366776,296,21.58366776
572,21.56417084,297,21.56417084
571,21.50447845,298,21.50447845
570,21.48828697,299,21.48828697
569,21.46204185,300,21.46204185
568,21.42894554,301,21.42894554
567,21.38591385,302,21.38591385
566,21.35286713,303,21.35286713
565,21.31261063,304,21.31261063
564,21.29332161,305,21.29332161
563,21.25650787,306,21.25650787
562,21.22581673,307,21.22581673
561,21.18484306,308,21.18484306
560,21.15240288,309,21.15240288
559,21.14250946,310,21.14250946
558,21.10149384,311,21.10149384
557,21.06902313,312,21.06902313
556,21.03271675,313,21.03271675
555,21.01034927,314,21.01034927
554,20.98018837,315,20.98018837
553,20.95314026,316,20.95314026
552,20.92041588,317,20.92041588
551,20.89897728,318,20.89897728
550,20.87337112,319,20.87337112
549,20.86262131,320,20.86262131
548,20.83165741,321,20.83165741
547,20.79658699,322,20.79658699
546,20.79426193,323,20.79426193
545,20.76381111,324,20.76381111
544,20.75083923,325,20.75083923
543,20.72809219,326,20.72809219
542,20.70606613,327,20.70606613
541,20.68279839,328,20.68279839
540,20.65208435,329,20.65208435
539,20.63048935,330,20.63048935
538,20.60817337,331,20.60817337
537,20.59602737,332,20.59602737
536,20.58322716,333,20.58322716
535,20.56246185,334,20.56246185
534,20.54037666,335,20.54037666
533,20.51034546,336,20.51034546
532,20.488657,337,20.488657
531,20.46665573,338,20.46665573
530,20.45231438,339,20.45231438
529,20.42297935,340,20.42297935
528,20.40902519,341,20.40902519
527,20.3786602,342,20.3786602
526,20.35424423,343,20.35424423
525,20.3397274,344,20.3397274
524,20.32844353,345,20.32844353
523,20.30059814,346,20.30059814
522,20.27861023,347,20.27861023
521,20.25855827,348,20.25855827
520,20.23622704,349,20.23622704
519,20.21551895,350,20.21551895
518,20.20254898,351,20.20254898
517,20.17331696,352,20.17331696
516,20.15846443,353,20.15846443
515,20.13871956,354,20.13871956
514,20.11878586,355,20.11878586
513,20.09786606,356,20.09786606
512,20.07732582,357,20.07732582
511,20.04811668,358,20.04811668
510,20.01748085,359,20.01748085
509,20.00618935,360,20.00618935
508,19.99361229,361,19.99361229
507,19.97452736,362,19.97452736
506,19.95258331,363,19.95258331
505,19.92412567,364,19.92412567
504,19.90378761,365,19.90378761
503,19.89987946,366,19.89987946
502,19.86343193,367,19.86343193
501,19.85020447,368,19.85020447
500,19.83056641,369,19.83056641
499,19.80243492,370,19.80243492
498,19.79158974,371,19.79158974
497,19.772089,372,19.772089
496,19.7428112,373,19.7428112
495,19.74062538,374,19.74062538
494,19.71298599,375,19.71298599
493,19.70081902,376,19.70081902
492,19.68057442,377,19.68057442
491,19.65364265,378,19.65364265
490,19.63357162,379,19.63357162
489,19.61325455,380,19.61325455
488,19.593256,381,19.593256
482,19.48798752,387,19.48798752
481,19.46599579,388,19.46599579
480,19.43982697,389,19.43982697
479,19.42591095,390,19.42591095
478,19.40752411,391,19.40752411
477,19.38871002,392,19.38871002
476,19.35646248,393,19.35646248
475,19.34469604,394,19.34469604
474,19.33546257,395,19.33546257
473,19.31657791,396,19.31657791
472,19.29020882,397,19.29020882
471,19.27090454,398,19.27090454
470,19.25912094,399,19.25912094
469,19.23959351,400,19.23959351
468,19.21285248,401,19.21285248
467,19.1934948,402,19.1934948
466,19.17381859,403,19.17381859
415,18.10907173,454,18.10907173
414,18.08854294,455,18.08854294
413,18.07328224,456,18.07328224
412,18.03692627,457,18.03692627
411,18.02191925,458,18.02191925
410,17.9881916,459,17.9881916
409,17.9630928,460,17.9630928
408,17.93604088,461,17.93604088
407,17.91086769,462,17.91086769
406,17.88471794,463,17.88471794
405,17.86630058,464,17.86630058
404,17.84092522,465,17.84092522
403,17.81576538,466,17.81576538
402,17.78103828,467,17.78103828
401,17.75621986,468,17.75621986
400,17.73079872,469,17.73079872
399,17.70584297,470,17.70584297
398,17.67983246,471,17.67983246
397,17.65407372,472,17.65407372
396,17.62764359,473,17.62764359
395,17.60494614,474,17.60494614
374,16.86145592,495,16.86145592
373,16.84595871,496,16.84595871
372,16.80819511,497,16.80819511
371,16.77699661,498,16.77699661
370,16.74175835,499,16.74175835
369,16.71552849,500,16.71552849
368,16.67416,501,16.67416
367,16.63895035,502,16.63895035
366,16.62555695,503,16.62555695
365,16.5828743,504,16.5828743
364,16.55652237,505,16.55652237
363,16.52233505,506,16.52233505
362,16.48920631,507,16.48920631
361,16.45685577,508,16.45685577
360,16.41956139,509,16.41956139
359,16.38649559,510,16.38649559
239,13.48907757,630,13.48907757
238,13.46961784,631,13.46961784
237,13.4583292,632,13.4583292
236,13.44087601,633,13.44087601
235,13.42055798,634,13.42055798
234,13.39358425,635,13.39358425
233,13.38369656,636,13.38369656
232,13.37404823,637,13.37404823
231,13.35006428,638,13.35006428
230,13.32324028,639,13.32324028
229,13.30662441,640,13.30662441
228,13.29026508,641,13.29026508
227,13.27286434,642,13.27286434
226,13.25551033,643,13.25551033
225,13.23139668,644,13.23139668
224,13.21563911,645,13.21563911
